"Plot_Name","Unit_Code","Unit_Group","Subunit_Code","Panel","Frame","GRTS_Order","Location_Status","Location_Notes","Event_Count","Event_Earliest","Event_Latest","UTM_ZONE_NAD83_X","UTM_ZONE_NAD83_Y","Latitude","Longitude","UTM_Zone","Aspect"
"APCO-004","APCO","APCO",NA,"1","MIDN",1,"Active","White oak forest with moderate sapling regen and little understory.  Some oak seedlings.",4,20070521,20190731,696550,4140410,37.3896312896019,-78.7797452913936,17,117
"APCO-007","APCO","APCO",NA,"1","MIDN",2,"Active","Pinus, oak overstory with Beech regen. Mostly open with dense patch of saplings and trees near BL",4,20070523,20190729,695101,4139562,37.38229935036,-78.7963259376611,17,0
"APCO-009","APCO","APCO",NA,"1","MIDN",5,"Active","Pinus taeda and Liriodendron tulipifera overstory, Quercus rubra, Acer rubrum, Carya midstory. Low ground cover and open understory",4,20070523,20190729,694833,4139797,37.3844723944126,-78.7992890776351,17,30
"APCO-010","APCO","APCO",NA,"1","MIDN",4,"Active","Very dense regen, sparse ground cover.",4,20070523,20190731,695665,4138594,37.3734615925034,-78.7902158062493,17,90
"APCO-011","APCO","APCO",NA,"1","MIDN",3,"Active","Quercus phellos/ Pinus taeda canopy, mixed hardwood subcanopy. Some seedlings and sedge groundcover.",4,20070524,20190729,693868,4139233,37.3795946092947,-78.8103296025025,17,218
"APCO-012","APCO","APCO",NA,"1","MIDN",6,"Active","Plot From Hell (2011) - perfectly lovely plot in later visits. Dense regen with very low cornus florida subcanoy with a few codom lir tuls. Sparse ground cover, some smilax.",4,20070524,20190729,693688,4137968,37.3682380259448,-78.8126923177312,17,150
"APCO-071","APCO","APCO",NA,"1","MIDN",8,"Active",NA,4,20070920,20190731,696128,4139124,37.3781375616939,-78.7848499321262,17,266
"APCO-098","APCO","APCO",NA,"2","MIDN",11,"Active","Young mixed hardwood forest in a smilax thicket. Smilax is quite dense in parts of the plot.",3,20080819,20160810,693940,4137984,37.3683294897408,-78.8098442038064,17,158
"APCO-099","APCO","APCO",NA,"2","MIDN",9,"Active","plot has small creek bed running through bottom.  Not very shrubby. Changed orientation from 270 to 280.",3,20080819,20160808,694586,4139783,37.38439817013,-78.8020808387712,17,90
"APCO-100","APCO","APCO",NA,"2","MIDN",10,"Active",NA,3,20080818,20160809,695821,4140111,37.3870924637022,-78.7880537123949,17,0
"APCO-101","APCO","APCO",NA,"2","MIDN",13,"Active",NA,3,20080818,20160809,695876,4139110,37.3780647276095,-78.7876978884622,17,60
"APCO-102","APCO","APCO",NA,"2","MIDN",16,"Active","perennial stream runs through plot.",3,20080820,20160808,693624,4139222,37.3795465133297,-78.8130865381844,17,270
"APCO-107","APCO","APCO",NA,"2","MIDN",12,"Active","Pinus virginiana canopy, wth mixed hardwood in understory. Fairly open.",3,20080820,20160808,693386,4138971,37.3773353528928,-78.8158384716969,17,300
"APCO-108","APCO","APCO",NA,"2","MIDN",15,"Active",NA,3,20080820,20160808,694193,4138512,37.3730323844272,-78.806850489309,17,0
"APCO-176","APCO","APCO",NA,"3","MIDN",22,"Active","Mixed hardwood canopy with high seedling cover in understory.",3,20090809,20170731,695675,4138344,37.3712076976744,-78.790169033215,17,294
"APCO-177","APCO","APCO",NA,"3","MIDN",17,"Active","Fairly open understory with lots of White Snakeroot (Herbs) and stiltgrass. Plot center located in pit near large Juglans.",3,20090810,20170802,694595,4139528,37.3820994461786,-78.8020463222828,17,141
"APCO-178","APCO","APCO",NA,"3","MIDN",18,"Active","Dense hardwood regeneration, lots of small saplings. Understory sparse. Orientation changed to 3 (previously 360)",3,20090811,20170802,695111,4139317,37.3800904908613,-78.7962776708843,17,173
"APCO-179","APCO","APCO",NA,"3","MIDN",24,"Active","Relatively short oak capopy with dense sapling regeneration and smilax in mid and understory.",3,20090812,20170731,694433,4138262,37.3707302950208,-78.8042074961386,17,108
"APCO-183","APCO","APCO",NA,"3","MIDN",20,"Active",NA,3,20090812,20170731,695324,4140327,37.3891428606498,-78.7936068513352,17,0
"APCO-184","APCO","APCO",NA,"3","MIDN",19,"Active","Changed plot orientation from 360 to 2 in 2013.",3,20090812,20170731,695569,4140096,37.3870105561599,-78.7909022733642,17,180
"APCO-187","APCO","APCO",NA,"3","MIDN",21,"Active","Virginia Pine and mixed hardwood canopy with sparse understory.",3,20090812,20170802,693890,4138983,37.3773381962736,-78.810146790845,17,323
"APCO-262","APCO","APCO",NA,"4","MIDN",25,"Active",NA,3,20100817,20180807,694106,4139503,37.3819767702499,-78.8075724428289,17,310
"APCO-263","APCO","APCO",NA,"4","MIDN",27,"Active","Plot within about 50m from boundary.",3,20100817,20180808,696368,4139390,37.3804826525248,-78.7820705390044,17,305
"APCO-264","APCO","APCO",NA,"4","MIDN",31,"Active","Tulip poplar canopy; Rock piles around Tulip Poplar tree bases near plot.",3,20100817,20180808,695864,4139358,37.3803010270023,-78.7877676848299,17,310
"APCO-265","APCO","APCO",NA,"4","MIDN",29,"Active","Short Ace rub, Lir tul, Pin vir canopy. Smilax thicket",3,20100818,20180807,694414,4138516,37.3730221134244,-78.8043552142937,17,0
"APCO-266","APCO","APCO",NA,"4","MIDN",28,"Active","Very dense plot lots of privet, symphocarpus , and rubus likely has water on plot in spring. Full crew recommended. 2014 - changed orientation from 360 to 3 degrees",3,20100817,20180808,696051,4139865,37.3848281046964,-78.7855226601728,17,180
"APCO-267","APCO","APCO",NA,"4","MIDN",30,"Active","Short Que phellos and beech canopy, sparse understory. Old road bed runs through plot. UTM E value corrected, mjj.",3,20100818,20180807,693653,4138718,37.3750007930674,-78.8128911000313,17,24
"APCO-268","APCO","APCO",NA,"4","MIDN",26,"Active","Acer negundo, Liriodendron and Juglans canopy, with grassy understory dominated by microstegum",3,20100818,20180807,693402,4138705,37.3749360771619,-78.8157273963954,17,360
"ASIS-385","ASIS","ASIS",NA,"1","MIDN",1129,"Active","Mixed forest of holly, sassafras, and pine. Green briar, vitis understory.",1,20190910,20190910,481227,4214605,38.0790277534305,-75.2140517865959,18,105
"ASIS-386","ASIS","ASIS",NA,"1","MIDN",1194,"Active","Carex, vitis, and smilax understory with morella mid-story and Pinus virginiana overstory. Some shade but openings in canopy.",1,20190910,20190910,482115,4216426,38.0954579005604,-75.2039723710536,18,0
"ASIS-387","ASIS","ASIS",NA,"1","MIDN",989,"Active","Pinus taeda overstory with sand and pine duff substrate. Sunny, open site.",1,20190911,20190911,479680,4211481,38.0508385465177,-75.2316019468682,18,180
"ASIS-388","ASIS","ASIS",NA,"1","MIDN",794,"Active","Pinus taeda overstory and morella cerifera understory. TOX RAD ON 32/47 TREES. IN EVERY QUAD. SAVE YOURSELVES. (bring gloves and technu)",1,20190911,20190911,482383,4215963,38.0912902854842,-75.2009045163351,18,0
"ASIS-389","ASIS","ASIS",NA,"1","MIDN",535,"Active","Pinus taeda overstory with Smilax and Vitis understory and Morella cerifera midstory",1,20190912,20190912,483562,4221438,38.1406568894443,-75.187585430209,18,110
"ASIS-390","ASIS","ASIS",NA,"1","MIDN",2071,"Active","Very open Pinus taeda dominated stand with Smilax understory. BRING KNEE BOOTS, plenty of water for this site.",1,20190912,20190912,483582,4220526,38.1324377242805,-75.1873361835384,18,0
"BOWA-005","BOWA","BOWA",NA,"1","MIDN",1,"Active","Floodplain forest of ash and tulip poplar.  Moderate regen and shrub cover.  Plot center is buried partially, make sure your metal detector is working!.",4,20070522,20190730,612837,4107570,37.1076594256346,-79.7300633375922,17,130
"BOWA-006","BOWA","BOWA",NA,"1","MIDN",2,"Active","Plot dense with regen.",4,20070522,20190730,612567,4107811,37.1098638351903,-79.7330652218193,17,186
"BOWA-094","BOWA","BOWA",NA,"2","MIDN",3,"Active","club moss dominates understory; Nys syl possibly confused with oxydendrun arboreum - corrected in 2016. Orientation was recorded as 303 in 2008",3,20080818,20160809,612759,4108570,37.1166808653368,-79.7307905813181,17,100
"BOWA-095","BOWA","BOWA",NA,"2","MIDN",4,"Active","Club moss in understory.",3,20080818,20160809,612798,4108062,37.1120980509955,-79.7304281455537,17,180
"BOWA-181","BOWA","BOWA",NA,"3","MIDN",6,"Active","Mixed hardwood canopy with Carpinus midstory and lycopodium ground cover. 2013- changed orientation to 341 from 331.",3,20090810,20170801,612785,4108322,37.1144427475997,-79.7305353110615,17,151
"BOWA-182","BOWA","BOWA",NA,"3","MIDN",5,"Active","Changed orientation from 296 to 298 in 2013.",3,20090810,20170801,612286,4108281,37.1141332522484,-79.7361567577361,17,116
"BOWA-260","BOWA","BOWA",NA,"4","MIDN",9,"Active"," White oak canopy with white oak regeneration in understory. 2014 - changed orientation to 110 from 115.",3,20100831,20180806,612555,4108048,37.1120011343485,-79.7331646681969,17,295
"BOWA-261","BOWA","BOWA",NA,"4","MIDN",7,"Active","Lir tul/loblolly successional with lots of nyssa sylvatica. 2014 - changed orientation from 280 to 272",3,20100816,20180806,612827,4107815,37.1098685817336,-79.7301389896773,17,100
"COLO-331","COLO","COLO_YORK","Yorktown","1","MIDN",8,"Active","Center Tag #13195. Pinus taeda canopy, mixed hardwood midstory, sparse subcanoy and groundcover.",3,20110914,20190807,366093,4118302,37.2015896898501,-76.5089233603043,18,0
"COLO-332","COLO","COLO_YORK","Yorktown","1","MIDN",23,"Active","Center Tag #1149. Center tag not located but stake was located 8/6/19. Center tag # now 12260. Pine and Tulip poplar overstory with Prunus serotina and Liriodendron tulipifera midstory. Ilex opaca subacnopy with low ground cover",3,20110914,20190806,367354,4120049,37.2175120893891,-76.4950288941382,18,180
"COLO-333","COLO","COLO_YORK","Yorktown","1","MIDN",22,"Active","Center Tag #12394. mixed hardwood and pinus taeda canopy, some mic vim for ground cover.",3,20110914,20190807,365348,4117794,37.1969049067296,-76.5172240340916,18,250
"COLO-334","COLO","COLO_YORK","Yorktown","1","MIDN",3,"Active","Center Tag #12348, Pinus taeda canopy, Ilex subcanopy.",3,20110914,20190807,365597,4117799,37.1969858566905,-76.5144201612203,18,192
"COLO-335","COLO","COLO_YORK","Yorktown","1","MIDN",6,"Active","Center Tag #41. Steep ravine through middle of plot, BL transect crosses it. Mixed hardwood canopy with ilex in the subcanopy. Sparse groundcover.",3,20110913,20190806,367601,4119050,37.2085451626207,-76.4920685476725,18,220
"COLO-336","COLO","COLO_JAMES","Jamestown","1","MIDN",7,"Active","Center Tag #40",3,20110913,20190808,343349,4119536,37.2091667981515,-76.7653689487032,18,0
"COLO-337","COLO","COLO_YORK","Yorktown","1","MIDN",5,"Active","Center tag14030. Plot on a slope. Good amount of paw paw understory, some smilax not much else. Lir tul and liq sty canopy. BL stake offset at 11m to avoid deep wash.",3,20110912,20190807,366107,4120823,37.2243083561189,-76.5092181605224,18,15
"COLO-338","COLO","COLO_YORK","Yorktown","1","MIDN",20,"Active","Center Tag 15119. Paw paw seedlings as groundcover, mixed hardwood and pinus taeda canopy.",3,20110912,20190809,366106,4120549,37.2218392109982,-76.5091802220138,18,0
"COLO-339","COLO","COLO_YORK","Yorktown","1","MIDN",9,"Active","Center Tag #12395. Plot on a slope. Good canopy coverage by trees outside of plot. Mostly subcanopy trees on plot. Open midstory and ground cover. Trees tagged away from road.",3,20110912,20190806,367600,4119550,37.2130505425168,-76.4921685515949,18,216
"COLO-340","COLO","COLO_JAMES","Jamestown","1","MIDN",3,"Active","Center tag #12328. Pinus taeda canopy, smilax and morella in understory but mostly open. 2019 - took new GPS coordinates. Old coordinates E 344600, N 4118550",3,20110913,20190808,344604,4118570,37.2006731466861,-76.7510307028531,18,0
"COLO-341","COLO","COLO_YORK","Yorktown","1","MIDN",25,"Active","Center tag #12347. Plot is on what looks to be an old road bed. Microstegium covers most of the plot. Mixed hardwood canopy. Steep ravine drops off south of plot.",3,20110913,20190806,367839,4119313,37.2109488209355,-76.4894338272024,18,150
"COLO-342","COLO","COLO_YORK","Yorktown","1","MIDN",14,"Active","Center Tag #14168",3,20110912,20190809,366111,4121046,37.2263183726628,-76.5092131382777,18,290
"COLO-344","COLO","COLO_YORK","Yorktown","2","MIDN",30,"Active","low-flow stream running through plot.  A bit mucky throughout.  Boots may be helpful, but didn't need them when plot was established.",2,20120816,20160815,364854,4122302,37.2374546565319,-76.5236054146121,18,0
"COLO-345","COLO","COLO_YORK","Yorktown","2","MIDN",29,"Active","Mixed woods forest with minimal understory.  Originally recorded as GRTS point 80, but GRTS point 29 is the correct GRTS value for the sampled plot.",2,20120816,20160815,364100,4120050,37.2170525571385,-76.5316925039363,18,0
"COLO-346","COLO","COLO_YORK","Yorktown","2","MIDN",34,"Active","Microstegeum ground cover.  Some large fallen tulip poplars",2,20120816,20160811,367343,4120558,37.2220971324119,-76.4952433853858,18,0
"COLO-347","COLO","COLO_YORK","Yorktown","2","MIDN",36,"Active","Mixed forest with dense sapling regeneration.",2,20120816,20160815,362877,4121564,37.2305158763365,-76.5457505127078,18,0
"COLO-348","COLO","COLO_YORK","Yorktown","2","MIDN",26,"Active","Ilex/Oxydendron understory - zilch in the herbaceous layer.",2,20120820,20160811,367595,4120314,37.219934262901,-76.4923605197336,18,270
"COLO-349","COLO","COLO_YORK","Yorktown","2","MIDN",28,"Active","Tulip poplar/Loblolly woods.  Sparse understory.",2,20120820,20160817,367359,4119565,37.2131514644044,-76.4948864836611,18,0
"COLO-350","COLO","COLO_YORK","Yorktown","2","MIDN",35,"Active","Mixed hardwood forest with Asimina triloba understory.",2,20120821,20160811,365597,4119046,37.2082225280712,-76.5146447298539,18,0
"COLO-351","COLO","COLO_YORK","Yorktown","2","MIDN",27,"Active","Mixed forest overstory; plot located in moderate gap allowing pine regeneration on forest floor.",2,20120821,20160811,365602,4118308,37.2015731600161,-76.5144554862794,18,0
"COLO-352","COLO","COLO_YORK","Yorktown","2","MIDN",33,"Active","Decent amount of holly regeneration, bare herbaceous layer.",2,20120821,20160815,364086,4122300,37.2373249347934,-76.5322604904333,18,70
"COLO-353","COLO","COLO_YORK","Yorktown","2","MIDN",32,"Active","Pinus taeda canopy with red maple coming in. sparse understory. Not as open as crown closure indicates, subcanopy provides shade. Center tag #12810",2,20120821,20160811,364596,4118542,37.2035362659969,-76.5258303355397,18,0
"COLO-354","COLO","COLO_JAMES","Jamestown","2","MIDN",8,"Active","center stake tagged with 15833.",2,20120822,20160816,343597,4119555,37.2093795985631,-76.7625793179483,18,0
"COLO-355","COLO","COLO_JAMES","Jamestown","2","MIDN",11,"Active","Some loblolly pine regen, partial canopy gap as well..",2,20120822,20160816,343099,4120048,37.2137378017808,-76.7682927657314,18,0
"COLO-357","COLO","COLO_YORK","Yorktown","3","MIDN",39,"Active","Tulip poplar canopy with ferns in understory.  Interesting donut hole pit dug into the ground abouut 4m in diameter.
* Plot Marked as #356 in 2013, will need to update Tag to #357",2,20130808,20170807,364599,4120797,37.2238562775172,-76.5262058754405,18,0
"COLO-358","COLO","COLO_YORK","Yorktown","3","MIDN",52,"Active","Sycamore, sweet gum, and tulip poplar canopy with paw paw understory. Stream runs through plot. Much evidence of flooding in 2013.  A bunch of trash has also been deposited with the flooding.",2,20130808,20170807,364854,4121057,37.2262361092308,-76.5233796413048,18,0
"COLO-359","COLO","COLO_YORK","Yorktown","3","MIDN",46,"Active","loblolly pine and red maple dominated; temporary stream through plot (possibly permanent?) 2017 - visited plot after heavy rain, stream very full.",2,20130812,20170808,365860,4117796,37.1969966650186,-76.5114571438728,18,0
"COLO-360","COLO","COLO_YORK","Yorktown","3","MIDN",43,"Active"," Plot is in a small ravine.  Steepish slopes with some large CWD.  Plot aspect is down slope of ravine. Lots of large trees just outside of the plot.",2,20130812,20170807,365344,4121797,37.2329750890786,-76.5179917761157,18,140
"COLO-361","COLO","COLO_YORK","Yorktown","3","MIDN",40,"Active","Mixed hardwood canopy with dense Asimina triloba sapling understory. Sparse ground cover. Plot center marked with tree tag #13499. 361 is written on the back in sharpie.",2,20130812,20170807,365855,4120547,37.2217851099552,-76.5120080994579,18,0
"COLO-362","COLO","COLO_YORK","Yorktown","3","MIDN",41,"Active","A bit of a thicket with pawpaw and privet with sweet gum and pine overstory.  UR corner stake is set under large log.  Trees were mapped with compass and sonin.",2,20130812,20170810,366596,4119552,37.212925496464,-76.5034806044168,18,0
"COLO-363","COLO","COLO_JAMES","Jamestown","3","MIDN",25,"Active","Sweet gum canopy with very shrubby Myrica mid and understory; adjacent to marsh",2,20130813,20170809,344353,4119046,37.2049200188898,-76.7539570759116,18,0
"COLO-364","COLO","COLO_JAMES","Jamestown","3","MIDN",19,"Active","Oak/Loblolly pine forest adjacent to tidal marsh. Yellow jacket nest encoutered on upper ceter line at ~9m.",2,20130813,20170809,344349,4119549,37.2094513206066,-76.7541070547357,18,0
"COLO-365","COLO","COLO_YORK","Yorktown","3","MIDN",38,"Active","Lobolly pine and mixed hardwood canopy with sparse understory.",2,20130813,20170808,363630,4118549,37.2034586463845,-76.5367136433697,18,0
"COLO-366","COLO","COLO_YORK","Yorktown","3","MIDN",47,"Active","Open wet plot along Beaver Dam Creek tributary. Bring boots and sun protection.",2,20130814,20170810,365342,4119542,37.2126551779447,-76.5176070421582,18,0
"COLO-367","COLO","COLO_YORK","Yorktown","3","MIDN",48,"Active","loblolly pine and mixed hardwood, vaccinium understory",2,20130814,20170808,362853,4121053,37.2259078305866,-76.5459269468134,18,0
"COLO-368","COLO","COLO_YORK","Yorktown","3","MIDN",42,"Active","Oak canopy with holly midstory and sparse understory.",2,20130814,20170808,363851,4119553,37.2125378383831,-76.5344072786378,18,0
"COLO-370","COLO","COLO_YORK","Yorktown","4","MIDN",66,"Active","Plot very close to the road and borders on a small clearing. The upper half of the plot is dense Asi tri regen, the bottom half of the plot is on a slope. Trash heap in plot. Tree sized ligustrum on plot.",2,20140807,20180815,366595,4120051,37.2174218374056,-76.5035811227741,18,115
"COLO-371","COLO","COLO_YORK","Yorktown","4","MIDN",63,"Active","Mixed hardwood canopy, paw paw understory. Not much ground cover.",2,20140811,20180814,365085,4119560,37.2127802338863,-76.520505779838,18,0
"COLO-372","COLO","COLO_YORK","Yorktown","4","MIDN",64,"Active","Quercus canopy with sparse understory and Ilex midstory",2,20140811,20180814,364104,4121049,37.2260549915792,-76.5318295109005,18,0
"COLO-373","COLO","COLO_YORK","Yorktown","4","MIDN",60,"Active","Loblolly/Tulip Poplar canopy, paw paw regen.",2,20140811,20180815,365846,4120054,37.2173414177413,-76.5120208174876,18,0
"COLO-374","COLO","COLO_JAMES","Jamestown","4","MIDN",26,"Active","loblolly pine regeneration, large red oak dominated canopy; directly adjacent to marsh (plot is in narrow strip of forest between marsh and loop road). Plot id tag is 14619",2,20140812,20180813,345349,4118559,37.2006978078174,-76.7426371771382,18,0
"COLO-375","COLO","COLO_JAMES","Jamestown","4","MIDN",27,"Active","GRTS 26 original location did not work, rejected North and East alternates. Plot set at southern alternate location. Half of plot mostly shrub cover, other half Nyssa  and Pinus taeda, sparse canopy.",2,20140812,20180813,344349,4118785,37.2025677717325,-76.7539476980899,18,0
"COLO-376","COLO","COLO_YORK","Yorktown","4","MIDN",61,"Active","mostly Pinus taeda canopy, also liriodendron and sycamore; dense asimina triloba midstory. Plot ID-tag is 14647",2,20140812,20180814,363855,4121787,37.2326686585983,-76.5347701432668,18,0
"COLO-377","COLO","COLO_YORK","Yorktown","4","MIDN",59,"Active","White oak canopy, ilex sub canopy, sparse groundcover.",2,20140813,20180814,365589,4118048,37.1992284360621,-76.5145551089434,18,0
"COLO-378","COLO","COLO_YORK","Yorktown","4","MIDN",57,"Active","Mixed hardwood canopy, ilex subcanopy, sparse ground cover. Decent amount of cwd. UTM E value corrected, mjj.",2,20140813,20180814,364849,4117800,37.1968868382149,-76.5228459155927,18,0
"COLO-379","COLO","COLO_YORK","Yorktown","4","MIDN",58,"Active","Loblolly/Tulip Poplar canopy, Carpinus subcanopy, sparse ground cover.",2,20140813,20180815,364842,4121794,37.2328753913484,-76.5236485101998,18,0
"COLO-380","COLO","COLO_YORK","Yorktown","4","MIDN",54,"Active","Very wet plot, 6in of standing water in 2014. In Beaver dam creek wetland/flood zone. Bring boots! Ash, red maple, and sweet gum canopy.",2,20140814,20180815,365087,4118549,37.2036704725899,-76.520300437404,18,0
"COLO-381","COLO","COLO_YORK","Yorktown","4","MIDN",67,"Active","plot id tag 14785; flat, dry mixed hardwoods with very sparse understory",2,20140814,20180813,364854,4118549,37.2036367505287,-76.5229252100677,18,0
"FRSP-001","FRSP","FRSP_FRED","FRED","1","MIDN",6,"Active","Fairly open site, mixed hardwood forest.",4,20070515,20190903,284595,4237044,38.2556244259217,-77.4618266977242,18,340
