"park","Network","metric","mean","lower95","upper95"
"ALPO","ERMN","stock_final",10.4318181818182,4.85113636363636,16.1721590909091
"BLUE","ERMN","stock_final",18.98125,10.98609375,29.4840625
"DEWA","ERMN","stock_final",47.4575,33.2292191876751,64.8748347772277
"FONE","ERMN","stock_final",35.4,18.7815625,54.08375
"FRHI","ERMN","stock_final",14.55,7.5871875,23.025
"GARI","ERMN","stock_final",39.2916666666667,24.0347332317073,55.7694448383437
"JOFL","ERMN","stock_final",16.8333333333333,7.66614583333333,27.6265625
"NERI","ERMN","stock_final",34.5808823529412,26.6204044117647,44.1307598039216
"APCO","MIDN","stock_final",54.8601417520351,34.1783658348681,77.6564726077214
"BOWA","MIDN","stock_final",66.0086363045734,21.8340353724886,132.99739853703
"COLO","NCBN","stock_final",26.1689757125801,10.9778320564422,45.3330774792726
"FRSP","MIDN","stock_final",31.1987814285923,23.4362440996379,40.7363418119488
"GETT","MIDN","stock_final",88.7328602082545,48.7186653954027,130.368985448349
"GEWA","NCBN","stock_final",11.8298225312815,2.87652077344315,27.3769590644184
"HOFU","MIDN","stock_final",51.4826597667887,10.6809774551352,114.844095749022
"PETE","MIDN","stock_final",35.2103827930091,23.0035672911611,49.0326578066444
"RICH","MIDN","stock_final",29.7108387916173,16.1583887905336,47.3259473955507
"SAHI","NCBN","stock_final",10.2687962205506,2.09439510239319,20.8189318610282
"THST","NCBN","stock_final",8.52802013560028,1.31549446271222,18.894936720088
"VAFO","MIDN","stock_final",4.60577210907875,2.51030243721392,7.03690599601463
"ANTI","NCRN","stock_final",20.1059593289266,7.58635371745237,35.7012436445644
"CATO","NCRN","stock_final",3.03902291938279,2.00498807458471,4.32878933057596
"CHOH","NCRN","stock_final",4.56475373828179,2.77797369495019,6.80839761838848
"GWMP","NCRN","stock_final",13.2454932286097,2.47523727407534,31.2875772329216
"HAFE","NCRN","stock_final",3.16894869856888,1.00245828616666,5.60095110487455
"MANA","NCRN","stock_final",11.5697472639643,2.60087197250467,26.9475673350601
"MONO","NCRN","stock_final",41.086668123832,3.07029468801973,114.114529716089
"NACE","NCRN","stock_final",27.0774995256338,11.7064052728679,48.4479687960721
"PRWI","NCRN","stock_final",38.9640796833687,24.9575363401544,58.246835786047
"ROCR","NCRN","stock_final",27.2345643702642,15.3539065615849,39.3701857236248
"WOTR","NCRN","stock_final",29.2121319487317,2.79252680319093,62.1285353909075
"ACAD","NETN","stock_final",61.3768939393939,50.6793560606061,73.4975378787879
"MABI","NETN","stock_final",62.25,32.4284722222223,98.4954861111112
"MIMA","NETN","stock_final",16.55,9.43125,25.5025
"MORR","NETN","stock_final",45.9166666666667,6.02321428571428,137.28125
"ROVA","NETN","stock_final",17.7333333333333,11.13125,25.3835416666667
"SAGA","NETN","stock_final",25.968253968254,13.3960317460317,42.3972222222222
"SARA","NETN","stock_final",17.2083333333333,2.92682291666667,43.6184895833334
"WEFA","NETN","stock_final",6.90000000000001,3.2325,10.9333333333333
"ALPO","ERMN","Sap_Dens_Total",0.0678021262746799,0.0361385333044044,0.108483402039488
"BLUE","ERMN","Sap_Dens_Total",0.0601630867143994,0.0417661097852029,0.0835322195704057
"DEWA","ERMN","Sap_Dens_Total",0.0654335719968178,0.0456597137661748,0.087832051403231
"FONE","ERMN","Sap_Dens_Total",0.0596658711217184,0.0298329355608592,0.0934765314240254
"FRHI","ERMN","Sap_Dens_Total",0.0447494033412888,0.0208830548926014,0.0755767700875099
"GARI","ERMN","Sap_Dens_Total",0.118384664924044,0.0846334722673736,0.157732423786706
"JOFL","ERMN","Sap_Dens_Total",0.0662954123574649,0.0381198621055423,0.0977857332272607
"NERI","ERMN","Sap_Dens_Total",0.0914486717519148,0.0779897281108148,0.105882547927683
"APCO","MIDN","Sap_Dens_Total",0.185709232401839,0.134333889197702,0.240885087674971
"BOWA","MIDN","Sap_Dens_Total",0.154757693668199,0.12085838934088,0.184235349604999
"COLO","NCBN","Sap_Dens_Total",0.117659750079652,0.0867877853374376,0.149025230364745
"FRSP","MIDN","Sap_Dens_Total",0.110314458563486,0.0968142590224303,0.12392236492431
"GETT","MIDN","Sap_Dens_Total",0.176865935620799,0.123618569851325,0.236571587827336
"GEWA","NCBN","Sap_Dens_Total",0.0722202570451598,0.0397948355146799,0.11496285815352
"HOFU","MIDN","Sap_Dens_Total",0.0257929489446999,0.01326494517156,0.0397948355146799
"PETE","MIDN","Sap_Dens_Total",0.113602350956437,0.0902413086265226,0.138108486843895
"RICH","MIDN","Sap_Dens_Total",0.13743957080533,0.10390873717722,0.17097961620092
"SAHI","NCBN","Sap_Dens_Total",0.0412687183115198,0.0206343591557599,0.0560075462799198
"THST","NCBN","Sap_Dens_Total",0.0663247258577997,0.0368470699209999,0.104645678575639
"VAFO","MIDN","Sap_Dens_Total",0.0328465309010056,0.0185288123031314,0.0534914177910287
"ANTI","NCRN","Sap_Dens_Total",0.107026566170535,0.057141302277489,0.184121974005242
"CATO","NCRN","Sap_Dens_Total",0.021175785489293,0.0146786694868963,0.0279135354177044
"CHOH","NCRN","Sap_Dens_Total",0.103604134732539,0.0789175804740007,0.130016114451912
"GWMP","NCRN","Sap_Dens_Total",0.0925598396415517,0.0601344181110718,0.127343473646975
"HAFE","NCRN","Sap_Dens_Total",0.0943284989977597,0.0507015682112959,0.144455252918288
"MANA","NCRN","Sap_Dens_Total",0.056874536160414,0.0277436761758117,0.0998772342329221
"MONO","NCRN","Sap_Dens_Total",0.110049915497387,0.0227960539244586,0.257850882364502
"NACE","NCRN","Sap_Dens_Total",0.101452265849153,0.0756593169044531,0.127988297370593
"PRWI","NCRN","Sap_Dens_Total",0.121163330609191,0.104899796299233,0.137186977788078
"ROCR","NCRN","Sap_Dens_Total",0.0868815122347787,0.0539906540316125,0.125357610510181
"WOTR","NCRN","Sap_Dens_Total",0.0530597806862399,0.0314428329992532,0.0825374366230399
"ACAD","NETN","Sap_Dens_Total",0.209734577276343,0.179295189363805,0.243658241122442
"MABI","NETN","Sap_Dens_Total",0.134800671793512,0.103862812693362,0.174577919207991
"MIMA","NETN","Sap_Dens_Total",0.102094935030496,0.084858127817555,0.125961283479183
"MORR","NETN","Sap_Dens_Total",0.0994431185361973,0.0795544948289578,0.136379133992499
"ROVA","NETN","Sap_Dens_Total",0.100106072659772,0.0914876690533016,0.110729912490056
"SAGA","NETN","Sap_Dens_Total",0.13385359447412,0.106072659771944,0.171736687249814
"SARA","NETN","Sap_Dens_Total",0.111044815698754,0.0861840360647043,0.150822063113233
"WEFA","NETN","Sap_Dens_Total",0.0822063113232564,0.0795544948289578,0.0875099443118537
"ALPO","ERMN","Seed_Dens_Total",0.55236132205106,0.385093476531424,0.758502386634846
"BLUE","ERMN","Seed_Dens_Total",1.87649164677804,1.17188743038982,2.68804693715195
"DEWA","ERMN","Seed_Dens_Total",1.15950676213206,0.868583273987935,1.51350613037578
"FONE","ERMN","Seed_Dens_Total",2.33691328560064,1.58407915672235,3.0948438743039
"FRHI","ERMN","Seed_Dens_Total",1.26988862370724,0.654186555290374,2.04171638822593
"GARI","ERMN","Seed_Dens_Total",0.942815471455089,0.654419965799496,1.24053500838274
"JOFL","ERMN","Seed_Dens_Total",1.51485017236807,0.691088239193848,2.7694908512331
"NERI","ERMN","Seed_Dens_Total",1.26975213315239,0.959713837802424,1.63830100457048
"APCO","MIDN","Seed_Dens_Total",1.25892857142857,0.758779761904762,1.86912202380952
"BOWA","MIDN","Seed_Dens_Total",3.28125,1.81197916666667,4.76067708333334
"COLO","NCBN","Seed_Dens_Total",1.36524822695035,0.848922318262411,2.10682624113475
"FRSP","MIDN","Seed_Dens_Total",0.957532051282052,0.713922275641026,1.21961137820513
"GETT","MIDN","Seed_Dens_Total",2.53787878787879,1.87847222222222,3.31818181818182
"GEWA","NCBN","Seed_Dens_Total",0.458333333333334,0.26015625,0.666666666666667
"HOFU","MIDN","Seed_Dens_Total",1.578125,0.671614583333334,2.885546875
"PETE","MIDN","Seed_Dens_Total",0.806089743589744,0.40380608974359,1.39911858974359
"RICH","MIDN","Seed_Dens_Total",0.5625,0.341080729166666,0.820312499999999
"SAHI","NCBN","Seed_Dens_Total",0.458333333333333,0.0833333333333335,0.833333333333333
"THST","NCBN","Seed_Dens_Total",0.260416666666667,0.135416666666667,0.40625
"VAFO","MIDN","Seed_Dens_Total",0.589285714285715,0.330282738095238,0.863169642857143
"ANTI","NCRN","Seed_Dens_Total",1.30769230769231,0.711538461538461,2.03205128205128
"CATO","NCRN","Seed_Dens_Total",0.753472222222222,0.404712301587301,1.16505190617914
"CHOH","NCRN","Seed_Dens_Total",0.588963963963964,0.469989864864865,0.727791095890411
"GWMP","NCRN","Seed_Dens_Total",0.795833333333334,0.404166666666667,1.33354166666667
"HAFE","NCRN","Seed_Dens_Total",0.666666666666667,0.433333333333333,0.925104166666667
"MANA","NCRN","Seed_Dens_Total",0.794117647058823,0.303921568627451,1.44117647058823
"MONO","NCRN","Seed_Dens_Total",0.444444444444444,0.2,0.744444444444444
"NACE","NCRN","Seed_Dens_Total",0.606382978723404,0.383255208333333,0.894140625
"PRWI","NCRN","Seed_Dens_Total",0.463793103448276,0.34882183908046,0.591997126436782
"ROCR","NCRN","Seed_Dens_Total",0.596491228070176,0.17094298245614,1.19736842105263
"WOTR","NCRN","Seed_Dens_Total",2.25,0.75,4.05555555555556
"ACAD","NETN","Seed_Dens_Total",0.512584074636581,0.411167160868832,0.65154829922133
"MABI","NETN","Seed_Dens_Total",0.997745955979846,0.62646402368956,1.39250751348007
"MIMA","NETN","Seed_Dens_Total",0.343410236011668,0.20684168655529,0.502651816494298
"MORR","NETN","Seed_Dens_Total",0.55877561844149,0.280263855741183,0.882936507936508
"ROVA","NETN","Seed_Dens_Total",0.623839830283744,0.393082073720499,0.87579554494829
"SAGA","NETN","Seed_Dens_Total",0.218459168339837,0.109829399805533,0.334633986185299
"SARA","NETN","Seed_Dens_Total",1.05824051975603,0.710976862901087,1.54555323521612
"WEFA","NETN","Seed_Dens_Total",0.485282418456643,0.198886237072395,0.806351100503845
"ALPO","ERMN","Sap_Dens_NatCan",0.0117523685542779,0.00452014175164534,0.0216966804078976
"BLUE","ERMN","Sap_Dens_NatCan",0.0397772474144789,0.0283412887828162,0.0522076372315036
"DEWA","ERMN","Sap_Dens_NatCan",0.0544948289578361,0.0382061288631554,0.0731308711618974
"FONE","ERMN","Sap_Dens_NatCan",0.0328162291169451,0.0139220365950676,0.0536992840095465
"FRHI","ERMN","Sap_Dens_NatCan",0.0228719172633254,0.00994431185361974,0.037788385043755
"GARI","ERMN","Sap_Dens_NatCan",0.0781338788498693,0.0541122537709095,0.105471375799399
"JOFL","ERMN","Sap_Dens_NatCan",0.0381198621055423,0.0182312383983028,0.0596658711217184
"NERI","ERMN","Sap_Dens_NatCan",0.0670753583851998,0.0565460870107789,0.0809242750401672
"APCO","MIDN","Sap_Dens_NatCan",0.127596139269291,0.0871591119645595,0.17057035053144
"BOWA","MIDN","Sap_Dens_NatCan",0.0795896710293598,0.0442164839051999,0.11496285815352
"COLO","NCBN","Sap_Dens_NatCan",0.0353731871241599,0.0191237360921002,0.055520694568836
"FRSP","MIDN","Sap_Dens_NatCan",0.0639438382629044,0.0531703218960028,0.0755109838281045
"GETT","MIDN","Sap_Dens_NatCan",0.0643148856802907,0.035730492044606,0.0993397005070157
"GEWA","NCBN","Sap_Dens_NatCan",0.01179106237472,0,0.0324254215304799
"HOFU","MIDN","Sap_Dens_NatCan",0.01547576936682,0.00515858978893999,0.0280037731399599
"PETE","MIDN","Sap_Dens_NatCan",0.0877527142118582,0.0693858670512368,0.107939239748578
"RICH","MIDN","Sap_Dens_NatCan",0.0711148449475297,0.0442164839051999,0.10060171265181
"SAHI","NCBN","Sap_Dens_NatCan",0.0206343591557599,0.00589553118736,0.0353731871241599
"THST","NCBN","Sap_Dens_NatCan",0.0280037731399599,0.01326494517156,0.0442533309751208
"VAFO","MIDN","Sap_Dens_NatCan",0.0202132497852342,0.0130543904862971,0.0282143278252228
"ANTI","NCRN","Sap_Dens_NatCan",0.0371871967202706,0.0217681151533292,0.0535132830852675
"CATO","NCRN","Sap_Dens_NatCan",0.0122723302267493,0.00818155348449957,0.0168443748210285
"CHOH","NCRN","Sap_Dens_NatCan",0.0234249105844437,0.0157214164996266,0.0336477616633259
"GWMP","NCRN","Sap_Dens_NatCan",0.0359627402428959,0.02063435915576,0.0518806744487679
"HAFE","NCRN","Sap_Dens_NatCan",0.0247612309869119,0.013559721730928,0.0377313995991039
"MANA","NCRN","Sap_Dens_NatCan",0.0374539628373458,0.0090166947571388,0.0846182123362256
"MONO","NCRN","Sap_Dens_NatCan",0.0903981448728533,0.01179106237472,0.233463035019456
"NACE","NCRN","Sap_Dens_NatCan",0.0464273081004598,0.0287407145383799,0.0702550799827064
"PRWI","NCRN","Sap_Dens_NatCan",0.0940032283115606,0.0799291723080802,0.109701604804248
"ROCR","NCRN","Sap_Dens_NatCan",0.0664022986365808,0.0397017481801426,0.097446924704758
"WOTR","NCRN","Sap_Dens_NatCan",0.0393035412490665,0.0275124788743466,0.0530597806862398
"ACAD","NETN","Sap_Dens_NatCan",0.173573443263181,0.142075588823799,0.214446825052434
"MABI","NETN","Sap_Dens_NatCan",0.0563511005038451,0.0298329355608592,0.0884215062317686
"MIMA","NETN","Sap_Dens_NatCan",0.039777247414479,0.013259082471493,0.0702731370989129
"MORR","NETN","Sap_Dens_NatCan",0.0265181649429859,0.00284123195817706,0.0681895669962496
"ROVA","NETN","Sap_Dens_NatCan",0.037788385043755,0.026518164942986,0.0517104216388226
"SAGA","NETN","Sap_Dens_NatCan",0.0871311133840967,0.0492164513644227,0.13006528519655
"SARA","NETN","Sap_Dens_NatCan",0.0314903208697958,0.00580084858127818,0.0729456709095731
"WEFA","NETN","Sap_Dens_NatCan",0.0212145319543887,0.0106072659771944,0.0344736144258817
"ALPO","ERMN","Seed_Dens_NatCan",0.257648079843784,0.150023504737108,0.391466876401244
"BLUE","ERMN","Seed_Dens_NatCan",0.506165473349244,0.326670644391408,0.724132358790771
"DEWA","ERMN","Seed_Dens_NatCan",0.901949085123309,0.616231554276444,1.19453275788761
"FONE","ERMN","Seed_Dens_NatCan",1.09785202863962,0.64225338106603,1.61709427207637
"FRHI","ERMN","Seed_Dens_NatCan",0.44848846459825,0.280429594272076,0.635491249005569
"GARI","ERMN","Seed_Dens_NatCan",0.592870401939614,0.390469919782175,0.819147822030516
"JOFL","ERMN","Seed_Dens_NatCan",0.318217979315831,0.215418655529037,0.464067886502254
"NERI","ERMN","Seed_Dens_NatCan",0.748553200118552,0.482762217854524,1.10794258037344
"APCO","MIDN","Seed_Dens_NatCan",0.654761904761905,0.386904761904762,1.02083333333333
"BOWA","MIDN","Seed_Dens_NatCan",1.83333333333333,0.687500000000001,3.34557291666667
"COLO","NCBN","Seed_Dens_NatCan",0.421985815602837,0.168439716312057,0.7322695035461
"FRSP","MIDN","Seed_Dens_NatCan",0.705128205128205,0.485556891025641,0.965625
"GETT","MIDN","Seed_Dens_NatCan",0.921717171717171,0.606060606060606,1.32828282828283
"GEWA","NCBN","Seed_Dens_NatCan",0.3125,0.15625,0.469010416666667
